,Element,Unnamed: 0,Unnamed: 0.1,ecut,energy,force,k-points,supercell,num_cu,num_sn,num_atom,con_formation_energy_per_atom,formation_energy_per_atom
41,CuSn,54,12.0,45,-25299.584024850712,0.0,13,1,2,2,4,-0.011943523947593349,-0.009535723560020415
43,Cu,16,16.0,45,-6623.39636760435,0.0,14,1,1,0,1,-0.000332931433149497,0.0
44,CuSn,64,,45,-25299.578704400003,0.0,14,1,2,2,4,-0.010613411270242068,-0.01044694555366732
45,Cu3Sn,65,,45,-25896.335889200003,0.0,14,1,3,1,4,0.05607638082278754,0.05632607939810441
46,Sn,17,17.0,45,-12052.744181409087,0.00035995457719309475,14,1,0,2,2,0.0,0.0
47,Cu,57,0.0,45,-6623.393195980073,0.0,15,1,1,0,1,0.0028386928443069337,0.0
48,Cu3Sn,67,,45,-25896.3330705,0.0,15,1,3,1,4,0.05678105582342141,
49,CuSn,66,,45,-25299.582313599996,0.0,15,1,2,2,4,-0.01151571126865747,
50,Cu,58,1.0,45,-6623.396675637354,0.0,16,1,1,0,1,-0.0006409644365703571,0.0
51,Cu,59,2.0,45,-6623.391995005105,0.0,17,1,1,0,1,0.004039667812321568,0.0
52,Cu,60,3.0,45,-6623.393174755184,0.0,18,1,1,0,1,0.002859917733076145,0.0
53,Cu,18,0.0,45,-6623.395346496709,0.0,19,1,1,0,1,0.000688176208313962,0.0
54,Cu,19,1.0,45,-6623.399244121034,0.0,20,1,1,0,1,-0.0032094481166495825,0.0
55,Cu,20,2.0,45,-6623.3984102278,0.0,21,1,1,0,1,-0.0023755548827466555,0.0
56,Cu,21,0.0,45,-6623.400847824665,0.0,22,1,1,0,1,-0.0048131517478395835,0.0
57,Cu,22,1.0,45,-6623.397014011064,0.0,23,1,1,0,1,-0.000979338146862574,0.0
58,Cu,23,2.0,45,-6623.396588969056,0.0,24,1,1,0,1,-0.0005542961389437551,0.0
59,Cu,24,3.0,45,-6623.39546813165,0.0,25,1,1,0,1,0.0005665412672897219,0.0
60,Cu,25,0.0,45,-6623.400372985803,0.0,26,1,1,0,1,-0.004338312885920459,0.0
61,Cu,26,1.0,45,-6623.395389082545,0.0,27,1,1,0,1,0.0006455903721871437,0.0
62,Cu,27,0.0,45,-6623.3986488717455,0.0,28,1,1,0,1,-0.0026141988282688544,0.0
63,Cu,28,1.0,45,-6623.399086158879,0.0,29,1,1,0,1,-0.003051485961805156,0.0
64,Cu,29,2.0,45,-6623.396081748633,0.0,30,1,1,0,1,-4.707571588369319e-05,0.0
65,Cu,61,0.0,45,-6623.396009230262,0.0,31,1,1,0,1,2.5442654987273272e-05,0.0
66,Cu,62,1.0,45,-6623.399313918267,0.0,32,1,1,0,1,-0.0032792453494039364,0.0
67,Cu,63,2.0,45,-6623.396034672917,0.0,33,1,1,0,1,0.0,0.0
